grain,size
52058,1
52061,886
52062,6
52067,1
52071,2
52073,149
52076,15
52079,1
52080,1684
52085,20
52090,3797
52093,1453
52094,29
52096,277
52097,1
52099,24
52100,1911
52104,3
52105,4
52106,7
52107,485
52108,11
52110,1010
52114,16
52115,443
52119,317
52120,6
52123,2
52124,5
52125,383
52128,21
52131,58
52132,19
52134,2261
52135,25
52136,14
52137,4
52138,919
52140,12
52146,15
52149,6
52151,3
52153,1
52156,40
52160,1
52163,31
52165,1
52166,1
52171,900
52173,4
52175,1
52176,370
52178,10
52180,2
52182,207
52183,1567
52185,333
52186,6
52188,980
52190,1
52191,1382
52192,243
52194,465
52196,10
52198,1667
52199,8
52207,13
52208,1046
52209,1088
52211,3
52212,50
52213,1
52215,1
52216,6
52217,645
52219,2
52221,293
52222,5
52223,3
52228,2
52233,205
52234,4
52236,1136
52244,58
52246,1032
52247,214
52254,1
52257,115
52258,140
52263,21
52264,5
52267,2
52268,5
52269,11
52270,3
52272,241
52273,1
52275,33
52277,113
52283,28
52284,1
52285,20
52289,1
52295,1725
52297,987
52298,16
52301,47
52303,232
52304,64
52306,10
52311,128
52312,1535
52313,65
52315,627
52319,657
52322,80
52324,9787
52327,4007
52330,73
52336,130
52338,179
52339,63
52340,1
52342,525
52345,2
52348,3
52349,41
52350,3
52352,1295
52353,190
52354,1
52357,193
52360,241
52364,1695
52366,854
52367,2171
52371,120
52373,1537
52374,148
52375,8
52377,21
52379,269
52380,175
52381,19
52383,1
52384,546
52388,43
52391,3
52395,9
52398,2
52405,156
52410,747
52412,10
52413,1
52417,17
52420,7
52424,9
52428,5
52429,1
52430,2
52432,2
52433,1
52435,61
52436,83
52437,1
52440,3096
52443,322
52445,89
52446,1
52447,2
52448,323
52450,1
52453,1
52455,949
52456,24
52457,193
52458,5
52459,1
52460,24
52461,2
52465,988
52467,12
52470,11
52472,126
52480,1
52481,279
52485,2
52486,4
52489,1
52492,29
52493,103
52496,3
52498,182
52500,1165
52502,4
52504,20
52506,244
52508,36
52510,255
52511,6
52514,44
52516,1
52518,1402
52520,30
52523,205
52525,5
52526,146
52529,7
52530,150
52533,182
52537,1
52538,7
52540,3
52541,546
52543,129
52544,1
52545,272
52551,2
52552,7202
52553,1
52556,2
52557,5
52560,1
52563,2
52564,1
52565,3
52566,119
52567,1
52571,42
52572,6
52574,3
52578,139
52581,2391
52582,868
52583,1
52584,89
52587,13
52593,47
52594,29
52595,5
52596,697
52600,7
52604,7
52607,5
52609,39
52615,453
52618,181
52621,23
52622,118
52623,3
52624,35
52625,57
52626,1
52629,6
52630,7128
52632,82
52635,150
52636,25
52637,28
52640,733
52642,13
52645,8
52646,343
52651,34
52652,273
52655,1
52662,2
52663,33
52664,904
52667,2
52670,13
52671,12
52675,139
52678,66
52679,15
52680,16
52681,773
52684,1068
52685,426
52686,2699
52688,19
52689,980
52691,311
52692,256
52695,197
52696,2
52697,7
52701,22
52702,72
52705,3
52706,1
52707,160
52708,3
52709,9
52710,142
52711,344
52714,18
52715,2466
52717,17
52718,1102
52720,6
52721,3
52723,27
52724,1
52726,30
52732,764
52733,11
52736,28
52738,1
52739,21
52740,478
52744,9
52745,19
52750,1413
52751,138
52753,8
52755,521
52757,292
52758,67
52760,1
52769,1
52772,5
52773,187
52774,1
52778,1382
52780,7
52781,1
52783,46
52788,1
52791,1
52793,3
52795,47
52796,139
52798,404
52804,7
52805,234
52807,1108
52809,54
52814,1211
52815,36
52817,1
52818,72
52822,216
52823,18
52824,25
52826,6
52828,162
52831,1716
52832,1
52833,2
52834,23
52835,362
52839,485
52842,2477
52845,1640
52849,1
52851,73
52853,41
52857,6
52858,2
52860,1096
52862,119
52864,169
52865,207
52867,1
52869,454
52871,224
52874,1
52876,12
52877,42
52879,3
52880,745
52881,15
52882,1
52886,29
52887,1614
52890,53
52892,15
52894,2
52895,3
52898,1
52899,3
52900,1
52901,13
52910,27
52911,69
52914,132
52918,12
52922,7
52924,1
52929,213
52934,10125
52936,28
52937,37
52942,812
52943,66
52947,828
52949,6
52952,55
52956,720
52957,1327
52958,4
