grain,size,duration,unique_sites,max_radius
50889,135,28,135,19
50890,91,27,91,16
50891,2,2,2,1
50893,29,15,29,8
50895,388,80,388,32
50898,106,32,106,22
50899,138,33,133,19
50900,347,64,242,25
50901,4,4,4,3
50905,16,8,16,5
50906,20,13,19,5
50911,35,14,29,5
50913,4,3,4,2
50914,944,123,466,30
50915,46,17,45,12
50916,1,1,1,0
50918,336,52,265,22
50923,7,5,7,4
50925,81,17,70,9
50927,1,1,1,0
50931,187,34,178,23
50934,16,8,16,6
50938,272,49,208,24
50940,4,3,4,2
50946,1,1,1,0
50948,3,3,3,2
50950,1,1,1,0
50952,16,7,16,4
50953,7,5,6,2
50954,625,72,378,35
50956,1403,229,1403,74
50962,131,25,131,17
50964,623,57,623,38
50965,7,4,7,3
50967,2,2,2,1
50971,212,42,200,34
50972,182,57,182,18
50973,689,101,680,42
50974,1,1,1,0
50978,19,11,19,8
50979,2051,157,1343,42
50983,176,48,125,20
50986,136,27,90,13
50988,1873,227,1759,81
50989,5,3,5,2
50995,1909,220,1909,89
51004,2,2,2,1
51007,78,25,78,13
51009,9,7,8,3
51010,670,100,584,35
51015,2,2,2,1
51016,74,20,53,10
51018,1,1,1,0
51020,217,56,217,25
51022,140,35,98,14
51023,3,3,3,2
51025,47,18,47,14
51029,13,5,13,4
51031,310,60,187,19
51034,9,5,9,3
51035,12,10,12,8
51037,26,11,26,8
51039,25,13,25,9
51043,3,3,3,2
51044,11,8,11,5
51047,8,3,7,2
51048,2,2,2,1
51052,3,3,3,2
51058,3,3,3,2
51060,4,3,4,2
51064,79,20,79,17
51067,2363,181,2363,81
51069,4,2,4,1
51070,17,7,17,6
51074,4,3,4,2
51076,610,95,536,40
51078,4538,307,2626,76
51083,3,3,3,2
51085,197,40,140,14
51086,97,28,97,16
51087,8495,248,2727,70
51093,165,55,162,22
51099,1,1,1,0
51100,437,60,437,28
51101,1920,169,1920,63
51103,9,6,9,3
51104,1,1,1,0
51106,61,23,61,11
51107,4,4,4,3
51109,1,1,1,0
51110,5,4,5,2
51111,9,5,9,3
51112,3,3,3,2
51113,18,8,16,4
51119,17,9,17,7
51125,857,67,466,24
51129,87,22,87,14
51130,9,6,9,5
51131,154,38,154,21
51133,52,17,52,14
51134,23,15,23,9
51135,789,105,789,55
51137,60,23,60,17
51138,1,1,1,0
51139,2,2,2,1
51141,3,2,3,1
51144,85,29,85,13
51145,2,2,2,1
51147,7,5,7,4
51148,40,21,40,14
51154,2,2,2,1
51155,4411,227,2312,74
51156,2,2,2,1
51157,35,21,35,11
51158,2,2,2,1
51160,3,3,3,2
51161,36,12,36,7
51164,3,2,3,1
51166,10,7,10,4
51170,11,6,11,3
51171,1,1,1,0
51173,125,34,99,12
51175,26,11,23,6
51176,251,49,251,22
51181,764,99,715,55
51182,1,1,1,0
51183,1675,172,1675,67
51184,153,37,112,14
51185,90,23,76,12
51186,122,30,122,21
51189,2,2,2,1
51191,450,63,450,36
51198,34,12,33,9
51199,2,2,2,1
51205,1,1,1,0
51206,4,2,4,1
51211,2,2,2,1
51212,261,52,202,19
51213,5,4,5,2
51214,33,11,33,10
51216,98,20,98,17
51220,33,12,33,8
51223,20,9,20,5
51224,1098,126,833,51
51227,100,36,100,30
51230,48,14,33,8
51231,25,11,25,8
51233,15,10,15,8
51234,18,13,18,6
51236,15,7,15,4
51237,31,14,31,7
51238,1303,132,1303,53
51239,1,1,1,0
51240,110,29,110,19
51241,2,2,2,1
51242,92,26,85,19
51244,38,20,38,13
51245,46,25,37,6
51248,3,2,3,1
51251,52,24,52,11
51254,4,4,4,2
51255,445,78,433,40
51259,1,1,1,0
51260,298,42,231,19
51264,381,94,381,50
51266,29,12,29,10
51271,6369,203,2356,64
51273,48,14,41,10
51277,5,4,5,3
51278,21,11,21,8
51280,1,1,1,0
51282,77,19,70,11
51283,3,2,3,1
51284,88,20,64,11
51286,1,1,1,0
51289,1132,103,767,36
51292,3,3,3,2
51295,242,61,242,23
51300,5,5,5,3
51301,1,1,1,0
51302,657,66,496,29
51303,2466,172,1587,52
51306,197,45,196,20
51309,439,67,439,41
51310,1,1,1,0
51313,11,9,11,6
51316,91,19,80,11
51317,415,70,415,34
51321,5,5,5,4
51322,3,2,3,1
51323,1,1,1,0
51329,37,16,37,13
51344,1136,76,562,39
51345,109,33,109,24
51349,2,2,2,1
51352,1,1,1,0
51353,34,17,34,10
51355,4,4,4,2
51358,1184,92,800,32
51361,244,54,197,23
51365,303,33,195,19
51367,968,108,968,45
51370,58,18,58,15
51371,2524,266,2524,105
51372,1721,140,1414,58
51376,5104,491,2637,65
51378,10,7,10,6
51380,27,11,24,7
51385,312,65,312,37
51387,32,9,32,6
51388,4,3,4,2
51392,208,40,173,18
51393,13,5,12,4
51394,75,27,75,13
51395,87,23,62,10
51396,1,1,1,0
51397,623,97,427,31
51398,47,20,47,15
51400,80,25,80,11
51401,1599,141,1048,44
51404,6,5,6,4
51409,12,7,12,4
51419,3,3,3,2
51420,1306,218,887,36
51421,101,21,88,12
